STR,TH01,TPOX,CSF1PO ,vWA ,FRSFPS ,F13A01 ,D13S317 ,D7S820 ,D16S539 
N,437,437,437,437,437,437,437,437,437
Allele,,,,,,,,,
3.2,,,,,,0.371,,,
4,,,,,,0.132,,,
4.2,,,,,,0.002,,,
5,,,,,,0.042,,,
6,0.159,,,,,0.442,0.001,,
7,0.254,,0.003,,,0.003,0.001,0.003,
8,0.039,0.484,,,,,0.269,0.137,0.001
9,0.497,0.113,0.049,,0.005,,0.134,0.066,0.296
9.3,0.038,,,,,,,,
10,0.013,0.023,0.229,,0.045,,0.14,0.177,0.149
11,0.001,0.352,0.248,,0.452,,0.24,0.344,0.263
12,,0.026,0.381,0.001,0.308,0.002,0.166,0.23,0.19
13,,0.001,0.072,0.002,0.177,,0.035,0.038,0.086
14,,,0.015,0.229,0.011,,0.014,0.003,0.01
15,,,0.002,0.024,0.002,0.001,,,0.005
16,,,,0.191,,0.002,,,
17,,,,0.27,,0.002,,,
18,,,,0.184,,,,,
19,,,,0.078,,,,,
20,,,,0.016,,,,,
21,,,,0.005,,,,,
H_obs,0.641,0.613,0.716,0.799,0.675,0.622,0.778,0.753,0.76
