STR,DYS576,DYS389I,DYS635,DYS389II,DYS627,DYS460,DYS458,DYS19,YGATAH4,DYS448,DYS391,DYS456,DYS390,DYS438,DYS392,DYS518,DYS570,DYS437,DYS449,DYS393,DYS439,DYS481,DYS533
N,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
Allele,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,0.005,,,,,,,,,,,,,,,,,
8,,,,,,0.002,,,0.002,,,,,0.007,,,,,,,0.002,,
8.2,,,,,,,,,0.002,,,,,,,,,,,,,,
9,,,,,,0.034,,,,,0.037,,,0.204,0.002,,,,,,,,0.009
10,,0.002,,,,0.47,,,0.034,,0.672,,,0.491,0.03,,,,,,0.135,,0.08
11,,0.002,,,,0.427,,0.009,0.546,,0.28,,,0.261,0.766,,,,,0.034,0.459,,0.472
12,0.016,0.156,,,,0.06,,0.002,0.312,,0.011,0.005,,0.025,0.053,,,,,0.445,0.287,,0.376
13,0.002,0.631,,,,,0.007,0.073,0.083,,,0.018,,0.002,0.087,,,,,0.385,0.103,,0.06
14,0.014,0.202,,,,,0.014,0.523,0.021,,,0.245,,,0.05,,0.009,0.722,,0.11,0.014,,0.002
14.3,,,,,,,,0.002,,,,,,,,,,,,,,,
15,0.078,0.007,,,0.002,,0.202,0.243,,,,0.466,,,0.011,,0.037,0.204,,0.025,,,
16,0.165,,,,0.018,,0.239,0.112,,,,0.211,,,,,0.073,0.071,,,,0.003,
16.2,,,,,,,0.005,,,,,,,,,,,,,,,,
17,0.28,,0.007,,0.057,,0.188,0.03,,0.002,,0.046,,,,,0.261,0.002,,,,,
17.2,0.002,,,,0.002,,0.046,,,,,,,,,,,,,,,,
18,0.298,,0.002,,0.083,,0.073,0.002,,0.016,,0.009,,,,,0.266,,,,,,
18.2,,,,,0.005,,0.142,,,,,,,,,,,,,,,,
18.4,,,,,,,,,,0.002,,,,,,,,,,,,,
19,0.106,,0.005,,0.154,,0.021,,,0.264,,,,,,,0.22,,,,,0.002,
19.2,,,,,,,0.039,,,,,,,,,,,,,,,,
20,0.032,,0.128,,0.28,,0.002,,,0.516,,,,,,,0.094,,,,,0.007,
20.2,,,,,,,0.021,,,,,,,,,,,,,,,,
21,0.007,,0.454,,0.19,,,,,0.167,,,0.092,,,,0.028,,,,,0.073,
21.2,,,,,0.002,,0.002,,,,,,,,,,,,,,,,
22,,,0.126,,0.149,,,,,0.02,,,0.083,,,,0.009,,,,,0.135,
23,,,0.19,,0.037,,,,,0.007,,,0.45,,,,,,,,,0.218,
24,,,0.064,,0.018,,,,,,,,0.234,,,,,,0.014,,,0.126,
25,,,0.018,,,,,,,,,,0.128,,,,,,0.069,,,0.167,
26,,,0.005,,,,,,,,,,0.011,,,,,,0.177,,,0.158,
27,,,,0.028,,,,,,,,,,,,,,,0.069,,,0.062,
27.1,,,,,,,,,,,,,,,,,,,,,,0.002,
28,,,,0.083,,,,,,,,,,,,,,,0.087,,,0.037,
28.1,,,,,,,,,,,,,,,,,,,,,,0.002,
29,,,,0.193,,,,,,,,,,,,,,,0.092,,,0.002,
30,,,,0.475,,,,,,,,,,,,,,,0.083,,,0.005,
31,,,,0.154,,,,,,,,,,,,,,,0.112,,,,
32,,,,0.064,,,,,,,,,,,,,,,0.14,,,,
33,,,,0.002,,,,,,,,,,,,0.002,,,0.064,,,,
34,,,,,,,,,,,,,,,,0.016,,,0.062,,,,
35,,,,,,,,,,,,,,,,0.048,,,0.03,,,,
36,,,,,,,,,,,,,,,,0.044,,,,,,,
37,,,,,,,,,,,,,,,,0.094,,,0.002,,,,
38,,,,,,,,,,,,,,,,0.225,,,,,,,
38.1,,,,,,,,,,,,,,,,0.002,,,,,,,
39,,,,,,,,,,,,,,,,0.257,,,,,,,
40,,,,,,,,,,,,,,,,0.126,,,,,,,
41,,,,,,,,,,,,,,,,0.087,,,,,,,
42,,,,,,,,,,,,,,,,0.064,,,,,,,
43,,,,,,,,,,,,,,,,0.023,,,,,,,
44,,,,,,,,,,,,,,,,0.009,,,,,,,
45,,,,,,,,,,,,,,,,0.002,,,,,,,
?,,,,,0.002,,,,,0.002,,,0.002,0.009,,,,,,,,,
10,11,,,,,,0.002,,,,,,,,,,,,,,,,
15,16,,,,,,,,0.002,,,,,,,,,,,,,,
20,21,,,,,,,,,,0.002,,,,,,,0.002,,,,,
31,32,,,,0.002,,,,,,,,,,,,,,,,,,
